,id,name,category,ratings,review_counts,zip_code
116,fGurvC5BdOfd5MIuLUQYVA,Dumpling House Restaurant,Chinese,3.5,588,M5T 2E7
117,BWCfyBdnTvuXp6A_8wt8cA,Ikkousha Ramen,Ramen,4.5,225,M5V 1Z4
118,wSojc-y-d7MWiGWdy8deCg,Barque Smokehouse,Barbeque,4.0,483,M6R 2M3
119,z_twvOBwyGNbuxJhsiJofg,PG Clucks,Sandwiches,4.0,169,M6G 1B4
120,tCjlXROlbcaGiBRfU2jaiw,The Keg Steakhouse + Bar - Mansion,Steakhouses,4.0,317,M4Y 2H7
121,D-8yidw7FLKKQpciKJSd2g,The Burgernator,Burgers,4.0,341,M5T 1M5
122,mBOIef7a4hONEbSi_ai8Bw,Beast Bodega,Canadian (New),4.0,403,M6J 2H1
123,jc3p5SFyt9qrrMXt6E13ig,Tsujiri,Tea Rooms,4.0,566,M5G 1P5
124,FBd6q_qzEFixvhV3KdzvJw,Riddle Room,Cafes,4.5,172,M4Y 1Z2
125,eYeFOcNJO2iTNPCPi8XAxw,El Pocho Antojitos Bar,Bars,4.5,64,M6G 1S3
126,7cMnc_zSPenfSQa9_199CA,Bloomer's,Bakeries,4.0,139,M6G 1M4
127,5UgSHCX-V0iXagxUZ9LEXg,Her Chef,Asian Fusion,4.5,48,M6G 1K5
128,T5Y4Mo5fgmU77KrbdRffcw,One Love Vegetarian,Caribbean,4.0,83,M5R 3G2
129,XrcB7Of1KfHlkeXYpHLIrw,Tibet Kitchen,Himalayan/Nepalese,4.5,246,M6R 1A6
130,4_EgrMY-EI-i-xyWixI2qg,Mystic Muffin,Sandwiches,4.5,262,M5C 2H4
131,LFxMt7Oi0vdsmZ3h_UBV-g,Nodo Restaurant,Italian,4.5,51,M6C 1B6
132,MS-hfug4QDXqb_Mws3qlzA,Grand Electric,Bars,3.5,684,M6K 1L4
133,Da6eZFThE9xanUAGNpZxAg,Nuit Social,Cocktail Bars,4.5,208,M6J 1J5
134,RNvVqnX-BLyT4Oe6FIyeJQ,Soma Chocolatemaker,Chocolatiers & Shops,4.5,204,M5V 1K4
135,dqoxe7g7CsnFlRQA9N-2NQ,Creeds Coffee Bar,Cafes,4.0,66,M5R 1V9
136,fN_I3jP7RD2llubTvhXtKQ,Good Fork,Breakfast & Brunch,4.0,336,M6K 1T5
137,ocLnCE2E29j-CoBQj1yaSA,Cafe Landwer,Cafes,4.0,329,M5H 3B8
138,O-uIEuv7JLUHajkemx_sVw,Beerbistro,Bistros,4.0,638,M5C 1C4
139,rHxc9sR5ELjboLqd_fUzJg,Barista & Chef,Mediterranean,4.5,44,M6E 1A2
140,rxA9c0_XObabVL1WCTA4FA,Sneaky Dee's,Tex-Mex,3.5,441,M5T 1T1
141,-OxDX2fPQLYi6ChW2Z6xxQ,Fresh On Bloor,Vegan,3.5,312,M5S 1W5
142,fPISsMIXOYZP1uins2Bwyw,Summer's Ice Cream,Ice Cream & Frozen Yogurt,4.5,147,M5R 1C1
143,8I5U8OQ06nSxX2y4PPOWzQ,Japango,Sushi Bars,3.5,673,M5G 1P5
144,ww_MXl-qDLeYdYTZZ9KWbA,Pho Linh,Vietnamese,4.0,217,M6H 1B6
145,X6ZZksefmR_piQj2Gbnduw,Paldo Gangsan,Korean,4.0,74,M6G 1L4
146,b4LmLgVdbhM-nc1IZc5Weg,Rodney's Oyster House,Seafood,4.0,385,M5V 1K4
147,cQK9M2JAwETQnnBoYyua5A,The Senator,Breakfast & Brunch,4.0,477,M5B 1T8
148,Tn8O4tv1U-n0PRC8kbJJPg,Banh Mi Nguyen Huong Food,Bakeries,4.0,187,M5T 2G2
149,FyUcIAn8timIFybYpOLbAw,The Alley,Bubble Tea,4.5,191,M4Y 0B6
150,mzREMIknfmagJugibXrCsQ,Pho Tien Thanh,Vietnamese,4.0,398,M6J 2Y9
151,BYDs_o6U4CLxJec8k1Q90Q,Poke Guys,Hawaiian,4.0,342,M5G 1P5
152,-av1lZI1JDY_RZN2eTMnWg,Salad King Restaurant,Thai,3.5,949,M5B 1R8
153,ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,Chinese,4.0,396,M5T 2E6
154,FfJD4vO-iYUL2Kr0WWzNYg,The Caledonian,Pubs,4.5,139,M6H 1A2
155,5tQSJ2sed3Ln-1S1rbIFoQ,Moon Bean Coffee Company,Coffee & Tea,4.0,234,M5T 1K6
