restaurant_id,name,category,ratings,review_counts,zip_code
qR4EIktJfQKc4rnKgBzvtw,Gyubee Japanese Grill - Bloor,Barbeque,4.0,229,M5S 1W7
ttuEwktrkmh3TUlSFPZqAA,Banh Mi Boys,Vietnamese,4.0,486,M5B
trKyIRyjKqVSZmcU0AnICQ,Pearl Diver,Seafood,4.0,571,M5C 1K9
CsS9WsonGYyE3vINi5bxSg,Barrio Coreano,Korean,3.5,233,M6G 1K9
c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,Sandwiches,4.5,358,M5V 1R1
rO3lZpVSoRMhhd0AEJBjlg,Sunrise House,Korean,3.5,206,M6G 1L1
3uIXuw878fNjxZ2Li1diFg,The Hogtown Vegan,Vegan,4.0,404,M6H 1M3
SW6ZQk22G1_CV81_gfnvNQ,La Carnita,Mexican,4.0,491,M5S 2K2
HUYEadSbGSQNHXFmT2Ujjw,Manpuku Japanese Eatery,Japanese,4.0,472,M5T 2X4
epb_jKqFvo34MoozEM3Qsg,Roti Cuisine of India,Indian,4.5,106,M5R 1W1
c6f8wBjPLDzyubEBqgcMnw,Fahrenheit Coffee,Coffee & Tea,4.5,314,M5A 4J6
iZ_Hdpxqwt3-c6349wXhuA,Jin Dal Lae,Korean,4.5,76,M6G 1L1
If8BMnK0BFY213rOtxs9Yg,Sea Witch Fish and Chips,Fish & Chips,4.0,117,M6C 1A9
ajHLLUe-A9dTd7WyU12XZQ,Madras Masala,Indian,4.0,145,M6G 1L7
gtcsOodbmk4E0TulYHnlHA,Northwood,Cafes,4.0,114,M6G 1M1
7qHU_Zh5qEJP3DaaBHqWBg,Saigon Lotus,Vietnamese,4.5,183,M5T 1K6
W5d8iNog90R-qw43m5dGwg,Café Polonez,Polish,4.5,251,M6R 2L5
jTZYireK6pnPb6Rni0jygw,Wow Sushi,Sushi Bars,4.0,413,M4Y 1R4
-BbnAc9YEO6pjvJGEtFbVQ,Sansotei,Ramen,4.0,271,M4Y 2A6
ohEGwJtSqrVd2SD-FKKrUQ,Napoli Centrale,Italian,4.5,59,M5R 3G5
-9dmhyBvepc08KPEHlEM0w,CN Tower,Landmarks & Historical Buildings,4.0,781,M5V 2T6
TpwCjlKsdYjLsvlYhKGt4g,Almond Butterfly Harbord Bakeshop & Cafe,Bakeries,4.5,151,M5S 1G6
BrGs6OGqqtKqaLuxoMySBg,Hanabusa Cafe,Desserts,4.0,282,M5T 2K2
fNc1WuGwiT7RhqXUIe4S8A,Sabai Sabai Kitchen and Bar,Laotian,4.0,380,M4W 1A9
yQS7bWaBhhGZJ1zeXku4yA,Imm Thai Kitchen,Thai,4.5,111,M6G 1B7
B5JCODx4728Ce2Qca1NFHw,Hanmoto,Japanese,4.0,212,M6J 1X4
H9pG0BNhqID2MTj8KnY3jQ,COO Café Bread or Rice,Japanese,4.5,85,M6H 1M4
RwRNR4z3kY-4OsFqigY5sw,Uncle Tetsu's Japanese Cheesecake,Desserts,3.5,1009,M5G 1M5
O-b5osM0NO4f31dp6_DatQ,Nadege,Desserts,4.0,412,M6J 1G2
xwmwTpzw9XSwK-UT5Ka3HQ,Bellwoods Brewery,Breweries,4.0,334,M6J 1R5
JG9UpsFR6hrqQqsKh_RyaQ,Planta Yorkville,Tapas/Small Plates,4.0,430,M5R 3P5
EL-iUP2pr6aJE2ZRVyNwyA,Baker and Scone,Breakfast & Brunch,4.0,78,M6C 1B2
3glVZZh_vyZH1VvPU0307A,Enoteca Sociale,Italian,4.0,301,M6J 1X7
1DtyA7pnc66hTkv64lKlzw,Takht-e Tavoos,Persian/Iranian,4.5,125,M6H 1B5
uPa5hrWmHm0n1l4MSyVMGQ,Aloette,French,4.5,234,M5V 2A5
TozYSxnKbMECma0exWdnFg,FK,French,4.5,34,M6C 1B5
Nq0UHjD_cKW9UbIJplQf_g,Pow Wow Cafe,Canadian (New),4.5,140,M5T 2L4
FHYKWg2ZAJf3cRWKfg2Y5g,Craque de Creme,Desserts,4.0,76,M5R 3H7
KWojrEKjUqHCRI5HO7pB4g,AGO - Art Gallery of Ontario,Art Museums,4.0,230,M5T 1G4
K3NW8TEu4QRQvFvHer8v4A,Joso's,Seafood,4.5,150,M5R 1J2
4m_hApwQ054v3ue_OxFmGw,Patria,Spanish,4.0,488,M5V 1L7
fGurvC5BdOfd5MIuLUQYVA,Dumpling House Restaurant,Chinese,3.5,588,M5T 2E7
BWCfyBdnTvuXp6A_8wt8cA,Ikkousha Ramen,Ramen,4.5,225,M5V 1Z4
wSojc-y-d7MWiGWdy8deCg,Barque Smokehouse,Barbeque,4.0,483,M6R 2M3
z_twvOBwyGNbuxJhsiJofg,PG Clucks,Sandwiches,4.0,169,M6G 1B4
tCjlXROlbcaGiBRfU2jaiw,The Keg Steakhouse + Bar - Mansion,Steakhouses,4.0,317,M4Y 2H7
D-8yidw7FLKKQpciKJSd2g,The Burgernator,Burgers,4.0,341,M5T 1M5
mBOIef7a4hONEbSi_ai8Bw,Beast Bodega,Canadian (New),4.0,403,M6J 2H1
jc3p5SFyt9qrrMXt6E13ig,Tsujiri,Tea Rooms,4.0,566,M5G 1P5
FBd6q_qzEFixvhV3KdzvJw,Riddle Room,Cafes,4.5,172,M4Y 1Z2
eYeFOcNJO2iTNPCPi8XAxw,El Pocho Antojitos Bar,Bars,4.5,64,M6G 1S3
7cMnc_zSPenfSQa9_199CA,Bloomer's,Bakeries,4.0,139,M6G 1M4
5UgSHCX-V0iXagxUZ9LEXg,Her Chef,Asian Fusion,4.5,48,M6G 1K5
T5Y4Mo5fgmU77KrbdRffcw,One Love Vegetarian,Caribbean,4.0,83,M5R 3G2
